yourlist:M20220122F248CABF64506F29A91F8037F07B67D13DFE271	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
RMX43010.1	A0A3M6TNQ2	A0A3M6TNQ2_POCDA	unreviewed	Uncharacterized protein	pdam_00001766	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	407	voltage-gated potassium channel complex [GO:0008076]; voltage-gated potassium channel activity [GO:0005249]; protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0008076; GO:0034765; GO:0051260
PFX30889.1	A0A2B4SP34	A0A2B4SP34_STYPI	unreviewed	Protein BTN1	BTN1 AWC38_SpisGene4241	Stylophora pistillata (Smooth cauliflower coral)	1379	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021
RMX61501.1	A0A3M6V6K2	A0A3M6V6K2_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00003572	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1482	extracellular region [GO:0005576]; membrane [GO:0016020]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor [GO:0016641]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0005507; GO:0005576; GO:0016020; GO:0016641
RMX53660.1	A0A3M6UJ14	A0A3M6UJ14_POCDA	unreviewed	Uncharacterized protein	pdam_00000441	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1015	integral component of membrane [GO:0016021]; ammonium transmembrane transporter activity [GO:0008519]	GO:0008519; GO:0016021
RMX57260.1	A0A3M6UUE2	A0A3M6UUE2_POCDA	unreviewed	Uncharacterized protein	pdam_00010563	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	419	metal ion binding [GO:0046872]	GO:0046872
OLQ09629.1	A0A1Q9EQB7	A0A1Q9EQB7_SYMMI	unreviewed	Polypeptide N-acetylgalactosaminyltransferase 10	GALNT10 AK812_SmicGene6691	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2723	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]	GO:0016021; GO:0016740
PFX13085.1	A0A2B4R9X3	A0A2B4R9X3_STYPI	unreviewed	Baculoviral IAP repeat-containing protein 1f	Naip6 AWC38_SpisGene22866	Stylophora pistillata (Smooth cauliflower coral)	1453	catalytic activity [GO:0003824]; nucleotide binding [GO:0000166]; nucleoside metabolic process [GO:0009116]	GO:0000166; GO:0003824; GO:0009116
RMX50281.1	A0A3M6U9J6	A0A3M6U9J6_POCDA	unreviewed	Uncharacterized protein	pdam_00021277	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	203	integral component of membrane [GO:0016021]	GO:0016021
CAF4103139.1	A0A819UY96	A0A819UY96_9BILA	unreviewed	Hypothetical protein	FNK824_LOCUS31487	Rotaria sordida	1596		
RMX58971.1	A0A3M6UZ57	A0A3M6UZ57_POCDA	unreviewed	Uncharacterized protein	pdam_00014634	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	748	aryl hydrocarbon receptor complex [GO:0034751]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; xenobiotic metabolic process [GO:0006805]	GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0005737; GO:0006805; GO:0034751; GO:0046983
RMX49289.1	A0A3M6U6W8	A0A3M6U6W8_POCDA	unreviewed	Uncharacterized protein	pdam_00011239	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1594	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]	GO:0004252; GO:0016020
RXN34061.1	A0A498NQF2	A0A498NQF2_LABRO	unreviewed	Putative mucin-17-like protein	ROHU_015137	Labeo rohita (Indian major carp) (Cyprinus rohita)	2605		
RMX52750.1	A0A3M6UGE3	A0A3M6UGE3_POCDA	unreviewed	Uncharacterized protein	pdam_00014218	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	948	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524
RMX49635.1	A0A3M6U7K3	A0A3M6U7K3_POCDA	unreviewed	Uncharacterized protein	pdam_00003039	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	615	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
PFX29520.1	A0A2B4SKX4	A0A2B4SKX4_STYPI	unreviewed	Beta-2 adrenergic receptor	ADRB2 AWC38_SpisGene5743	Stylophora pistillata (Smooth cauliflower coral)	573	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021
RMX41893.1	A0A3M6TKC7	A0A3M6TKC7_POCDA	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	pdam_00006676	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	307	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled peptide receptor activity [GO:0008528]	GO:0005886; GO:0008528; GO:0016021
PFX29884.1	A0A2B4SGR4	A0A2B4SGR4_STYPI	unreviewed	Calcium/calmodulin-dependent protein kinase (EC 2.7.11.17)	CAMK2D AWC38_SpisGene5381	Stylophora pistillata (Smooth cauliflower coral)	440	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0004683; GO:0005516; GO:0005524; GO:0106310; GO:0106311
RMX53710.1	A0A3M6UJ55	A0A3M6UJ55_POCDA	unreviewed	COX6C domain-containing protein (Fragment)	pdam_00000357	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	85	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0016021
PFX19905.1	A0A2B4RUH1	A0A2B4RUH1_STYPI	unreviewed	Glutamine-rich protein 1	QRICH1 AWC38_SpisGene15666	Stylophora pistillata (Smooth cauliflower coral)	277	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074
PFX30651.1	A0A2B4SL82	A0A2B4SL82_STYPI	unreviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	PIGY AWC38_SpisGene4597	Stylophora pistillata (Smooth cauliflower coral)	98	integral component of membrane [GO:0016021]; glycosyltransferase activity [GO:0016757]	GO:0016021; GO:0016757
RMX37560.1	A0A3M6T838	A0A3M6T838_POCDA	unreviewed	Uncharacterized protein	pdam_00016623	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	262		
RMX59386.1	A0A3M6V0C0	A0A3M6V0C0_POCDA	unreviewed	Uncharacterized protein	pdam_00016382	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	860		
EDO38759.1	A7SC19	A7SC19_NEMVE	unreviewed	Predicted protein	v1g112848	Nematostella vectensis (Starlet sea anemone)	62	nucleus [GO:0005634]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell population proliferation [GO:0008285]	GO:0005634; GO:0008285; GO:0045786
EDO33635.1	A7SRQ0	A7SRQ0_NEMVE	unreviewed	Coiled-coil domain-containing protein 153	v1g216404	Nematostella vectensis (Starlet sea anemone)	162		
PFX28836.1	A0A2B4SHG5	A0A2B4SHG5_STYPI	unreviewed	Phosphoinositide phospholipase C (EC 3.1.4.11)	PLCB1 AWC38_SpisGene6438	Stylophora pistillata (Smooth cauliflower coral)	883	calcium ion binding [GO:0005509]; phosphatidylinositol phospholipase C activity [GO:0004435]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]	GO:0004435; GO:0005509; GO:0016042; GO:0035556
QCF40880.1	A0A4D6QBH9	A0A4D6QBH9_FIMAN	unreviewed	Guanylate cyclase (EC 4.6.1.2)	rGC3	Fimbriaphyllia ancora (Hammer coral) (Euphyllia ancora)	1179	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556
PFX27619.1	A0A2B4SEU3	A0A2B4SEU3_STYPI	unreviewed	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	SVEP1 AWC38_SpisGene7686	Stylophora pistillata (Smooth cauliflower coral)	1620	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
RMX58181.1	A0A3M6UWZ9	A0A3M6UWZ9_POCDA	unreviewed	Uncharacterized protein	pdam_00000056	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	295	transcription factor TFIIA complex [GO:0005672]; transcription initiation from RNA polymerase II promoter [GO:0006367]	GO:0005672; GO:0006367
RMX39818.1	A0A3M6TER0	A0A3M6TER0_POCDA	unreviewed	Fibroblast growth factor (FGF)	pdam_00016807	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	208	growth factor activity [GO:0008083]	GO:0008083
PFX32661.1	A0A2B4SRY1	A0A2B4SRY1_STYPI	unreviewed	E3 ubiquitin-protein ligase TRIM71	trim71 AWC38_SpisGene2463	Stylophora pistillata (Smooth cauliflower coral)	1639	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0005737; GO:0008270; GO:0015074
PFX22810.1	A0A2B4S1Z1	A0A2B4S1Z1_STYPI	unreviewed	Oncoprotein-induced transcript 3 protein	OIT3 AWC38_SpisGene12648	Stylophora pistillata (Smooth cauliflower coral)	459	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021
PFX12455.1	A0A2B4R854	A0A2B4R854_STYPI	unreviewed	Aggrecan core protein	ACAN AWC38_SpisGene23587	Stylophora pistillata (Smooth cauliflower coral)	524	calcium ion binding [GO:0005509]	GO:0005509
PFX25729.1	A0A2B4S9F4	A0A2B4S9F4_STYPI	unreviewed	Golgi-associated plant pathogenesis-related protein 1	Glipr2 AWC38_SpisGene9659	Stylophora pistillata (Smooth cauliflower coral)	412	extracellular region [GO:0005576]	GO:0005576
RMX41883.1	A0A3M6TKB7	A0A3M6TKB7_POCDA	unreviewed	Myb-like domain-containing protein (Fragment)	pdam_00019636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	395		
PSR08334.1	A0A2T2VRN4	A0A2T2VRN4_9BACT	unreviewed	Uncharacterized protein	C7M88_10225	Bacteroidetes bacterium	87		
PFX21361.1	A0A2B4RUU2	A0A2B4RUU2_STYPI	unreviewed	DBH-like monooxygenase protein 1-like	moxd1 AWC38_SpisGene14146	Stylophora pistillata (Smooth cauliflower coral)	2946	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; copper ion binding [GO:0005507]; dopamine beta-monooxygenase activity [GO:0004500]; G protein-coupled receptor activity [GO:0004930]; protein kinase activity [GO:0004672]	GO:0004500; GO:0004672; GO:0004930; GO:0005507; GO:0005524; GO:0005886; GO:0016021
RMX45218.1	A0A3M6TVB2	A0A3M6TVB2_POCDA	unreviewed	Sodium channel protein	pdam_00020954	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1548	voltage-gated sodium channel complex [GO:0001518]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]; regulation of ion transmembrane transport [GO:0034765]	GO:0001518; GO:0005244; GO:0005248; GO:0034765
EDO33520.1	A7SS02	A7SS02_NEMVE	unreviewed	Predicted protein	v1g216535	Nematostella vectensis (Starlet sea anemone)	283		
PFX29447.1	A0A2B4SLQ5	A0A2B4SLQ5_STYPI	unreviewed	Fibrinogen C domain-containing protein 1	fibcd1 AWC38_SpisGene5782	Stylophora pistillata (Smooth cauliflower coral)	609		
KID95830.1	A0A0B4H7Z3	A0A0B4H7Z3_METMF	unreviewed	Ankyrin repeat protein (Fragment)	MAJ_08226	Metarhizium majus (strain ARSEF 297)	1005		
PFX15237.1	A0A2B4RFW0	A0A2B4RFW0_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene20548	Stylophora pistillata (Smooth cauliflower coral)	618	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
PFX26909.1	A0A2B4SCT3	A0A2B4SCT3_STYPI	unreviewed	EH domain-binding protein 1	EHBP1 AWC38_SpisGene8414	Stylophora pistillata (Smooth cauliflower coral)	637	integral component of membrane [GO:0016021]	GO:0016021
RMX50937.1	A0A3M6UB79	A0A3M6UB79_POCDA	unreviewed	Uncharacterized protein	pdam_00017548	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	536	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]	GO:0005886; GO:0007155; GO:0007411; GO:0016021
RMX51151.1	A0A3M6UBY5	A0A3M6UBY5_POCDA	unreviewed	Uncharacterized protein	pdam_00015804	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	943	integral component of membrane [GO:0016021]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0016021; GO:0071205
RMX59958.1	A0A3M6V319	A0A3M6V319_POCDA	unreviewed	Transporter (Fragment)	pdam_00001144	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	686	integral component of membrane [GO:0016021]; symporter activity [GO:0015293]	GO:0015293; GO:0016021
RMX54977.1	A0A3M6UMR1	A0A3M6UMR1_POCDA	unreviewed	Uncharacterized protein	pdam_00016168	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	299		
PFX28186.1	A0A2B4SFP1	A0A2B4SFP1_STYPI	unreviewed	40S ribosomal protein S8	rps8 AWC38_SpisGene7073	Stylophora pistillata (Smooth cauliflower coral)	213	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412
RMX46466.1	A0A3M6TYN2	A0A3M6TYN2_POCDA	unreviewed	Uncharacterized protein	pdam_00017832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1198		
PFX26925.1	A0A2B4SER1	A0A2B4SER1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene8404	Stylophora pistillata (Smooth cauliflower coral)	191	integral component of membrane [GO:0016021]	GO:0016021
RMX42120.1	A0A3M6TL75	A0A3M6TL75_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00001334	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	822	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]	GO:0006486; GO:0008417; GO:0016021; GO:0032580
RMX37974.1	A0A3M6T9L6	A0A3M6T9L6_POCDA	unreviewed	Uncharacterized protein	pdam_00009038	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	971	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]	GO:0016620
RMX59846.1	A0A3M6V1M5	A0A3M6V1M5_POCDA	unreviewed	Uncharacterized protein	pdam_00020332	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	150		
PFX17485.1	A0A2B4RMJ0	A0A2B4RMJ0_STYPI	unreviewed	GREB1-like protein	GREB1L AWC38_SpisGene18186	Stylophora pistillata (Smooth cauliflower coral)	2777	integral component of membrane [GO:0016021]	GO:0016021
TNN44895.1	A0A4Z2FVK0	A0A4Z2FVK0_9TELE	unreviewed	Proteoglycan 4	Prg4_1 EYF80_044900	Liparis tanakae (Tanaka's snailfish)	241		
VFK75947.1	A0A451BCC8	A0A451BCC8_9GAMM	unreviewed	Collagen triple helix repeat-containing protein	BECKMB1821H_GA0114242_103626	Candidatus Kentron sp. MB	1294		
PFX22981.1	A0A2B4RZB8	A0A2B4RZB8_STYPI	unreviewed	Telomerase-binding protein EST1A	SMG6 AWC38_SpisGene12483	Stylophora pistillata (Smooth cauliflower coral)	1201	cytoplasm [GO:0005737]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]	GO:0000184; GO:0005737
PFX11660.1	A0A2B4R582	A0A2B4R582_STYPI	unreviewed	Tetratricopeptide repeat protein 28	TTC28 AWC38_SpisGene24522	Stylophora pistillata (Smooth cauliflower coral)	1462		
PFX17331.1	A0A2B4RI95	A0A2B4RI95_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18360	Stylophora pistillata (Smooth cauliflower coral)	444	integral component of membrane [GO:0016021]	GO:0016021
PFX13393.1	A0A2B4R9B2	A0A2B4R9B2_STYPI	unreviewed	Beta/gamma crystallin 'Greek key' domain-containing protein	AWC38_SpisGene22525	Stylophora pistillata (Smooth cauliflower coral)	91		
PFX15217.1	A0A2B4RFU0	A0A2B4RFU0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20568	Stylophora pistillata (Smooth cauliflower coral)	424		
PFX30764.1	A0A2B4SJA6	A0A2B4SJA6_STYPI	unreviewed	Lactadherin	MFGE8 AWC38_SpisGene4435	Stylophora pistillata (Smooth cauliflower coral)	10854		
PFX28384.1	A0A2B4SCI7	A0A2B4SCI7_STYPI	unreviewed	Polycomb group RING finger protein 3	PcgF3 AWC38_SpisGene6865	Stylophora pistillata (Smooth cauliflower coral)	440	metal ion binding [GO:0046872]	GO:0046872
RMX53028.1	A0A3M6UI34	A0A3M6UI34_POCDA	unreviewed	Uncharacterized protein	pdam_00020367	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	302	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491
PFX13006.1	A0A2B4R762	A0A2B4R762_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22954	Stylophora pistillata (Smooth cauliflower coral)	1097		
RMX37759.1	A0A3M6T8U6	A0A3M6T8U6_POCDA	unreviewed	Uncharacterized protein (Fragment)	pdam_00006580	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	1716		
RMX57869.1	A0A3M6UW96	A0A3M6UW96_POCDA	unreviewed	COR domain-containing protein	pdam_00025437	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	937	nucleotide binding [GO:0000166]	GO:0000166
PIK57285.1	A0A2G8LAP9	A0A2G8LAP9_STIJA	unreviewed	Peroxiredoxin-6 (Fragment)	BSL78_05793	Stichopus japonicus (Sea cucumber)	190	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]	GO:0004601; GO:0051920
RMX40588.1	A0A3M6TGW8	A0A3M6TGW8_POCDA	unreviewed	Uncharacterized protein	pdam_00019931	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	501	integral component of membrane [GO:0016021]	GO:0016021
NEQ53356.1	A0A6I5PCT1	A0A6I5PCT1_9CYAN	unreviewed	Uncharacterized protein	F6K11_25020	Leptolyngbya sp. SIO3F4	447		
PFX24634.1	A0A2B4S1R9	A0A2B4S1R9_STYPI	unreviewed	Protein FAM69A	FAM69A AWC38_SpisGene10765	Stylophora pistillata (Smooth cauliflower coral)	417	integral component of membrane [GO:0016021]	GO:0016021
PFX22243.1	A0A2B4RZN9	A0A2B4RZN9_STYPI	unreviewed	XK-related protein	AWC38_SpisGene13244	Stylophora pistillata (Smooth cauliflower coral)	362	integral component of membrane [GO:0016021]	GO:0016021
RMX51533.1	A0A3M6UCW6	A0A3M6UCW6_POCDA	unreviewed	Uncharacterized protein	pdam_00010327	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	2965	integral component of membrane [GO:0016021]	GO:0016021
EDO28660.1	A7T5V0	A7T5V0_NEMVE	unreviewed	Predicted protein	v1g222736	Nematostella vectensis (Starlet sea anemone)	548	integral component of membrane [GO:0016021]	GO:0016021
PFX32552.1	A0A2B4SVI6	A0A2B4SVI6_STYPI	unreviewed	Zinc finger protein 862	ZNF862 AWC38_SpisGene2539	Stylophora pistillata (Smooth cauliflower coral)	734		
CAD5120030.1	A0A7I8VUM9	A0A7I8VUM9_9ANNE	unreviewed	DgyrCDS8611	DGYR_LOCUS8190	Dimorphilus gyrociliatus	2027	carbohydrate binding [GO:0030246]	GO:0030246
OAO14339.1	A0A196SEB7	A0A196SEB7_BLAHN	unreviewed	Neurofilament protein	AV274_3929	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)	823	actin binding [GO:0003779]; metal ion binding [GO:0046872]; cytoskeleton organization [GO:0007010]	GO:0003779; GO:0007010; GO:0046872
AAB66910.1	O17494	O17494_ACRMI	unreviewed	Integrin beta		Acropora millepora (Staghorn coral) (Heteropora millepora)	792	integral component of membrane [GO:0016021]; cell adhesion [GO:0007155]; integrin-mediated signaling pathway [GO:0007229]	GO:0007155; GO:0007229; GO:0016021
PFX19516.1	A0A2B4RQS0	A0A2B4RQS0_STYPI	unreviewed	Synaptotagmin-4	SYT4 AWC38_SpisGene16080	Stylophora pistillata (Smooth cauliflower coral)	1083	integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]	GO:0006869; GO:0008289; GO:0016021
PFX25614.1	A0A2B4S4I9	A0A2B4S4I9_STYPI	unreviewed	GTP-binding nuclear protein	ran AWC38_SpisGene9732	Stylophora pistillata (Smooth cauliflower coral)	267	nucleus [GO:0005634]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]	GO:0003924; GO:0005525; GO:0005634; GO:0006913; GO:0015031
PFX26475.1	A0A2B4SDG4	A0A2B4SDG4_STYPI	unreviewed	Transmembrane protein 199	Tmem199 AWC38_SpisGene8848	Stylophora pistillata (Smooth cauliflower coral)	227	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]	GO:0005789; GO:0016021; GO:0070072
QKU33793.1	A0A6N1NP15	A0A6N1NP15_9VIRU	unreviewed	Uncharacterized protein		Tupanvirus deep ocean	1510		
TWW54239.1	A0A5C6MHN0	A0A5C6MHN0_9TELE	unreviewed	Uncharacterized protein	D4764_0096850	Takifugu flavidus (sansaifugu)	991		
PMC27822.1	A0A2N6QXW4	A0A2N6QXW4_GARVA	unreviewed	GRAM_POS_ANCHORING domain-containing protein	CJ225_04200	Gardnerella vaginalis	1040	cell wall [GO:0005618]; extracellular region [GO:0005576]	GO:0005576; GO:0005618
RMX37566.1	A0A3M6T834	A0A3M6T834_POCDA	unreviewed	Uncharacterized protein	pdam_00016612	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	738		
RMX53469.1	A0A3M6UIS2	A0A3M6UIS2_POCDA	unreviewed	Uncharacterized protein	pdam_00013273	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	261	integral component of membrane [GO:0016021]; channel activity [GO:0015267]	GO:0015267; GO:0016021
